name,location,rooms,area,floor,type,price
"INEDIT || 2 camere, incalzire pardoseala, SMART Home system - acces rapid Metrou","Bucuresti, Sector 3, zona Theodor Pallady (Titan)",2,59, 2/7,Dec.,72.000
PROMO Apartament 2 camere decomandate Bucatarie generoasa - 15 mp,"Bucuresti, zona Theodor Pallady (Titan)",2,65, 1/7,Dec.,67.580
"Penthouse in zona Baneasa, imobil finalizat","Bucuresti, Sector 1, zona Băneasa (Baneasa)",4,246, 10/11,Dec.,339.900
FINALIZAT Apartamente si Garsoniere Prelungirea Ghencea,"Bucuresti, Sector 6, zona Prelungirea Ghencea (Ghencea)",o,30.67, 1/2,Dec.,36.800
Berceni-Metrou Berceni-Apartament 2 camere- Promotie.,"Bucuresti, zona Berceni",2,43, 1/6,Nedec.,41.900
102 The Address | Apartament exclusivist | Vedere Panoramica | Poze Reale | Lux,"Bucuresti, Sector 2, zona Floreasca",2,61.32, 9/10,Dec.,185.000
Apartament cu 2 camere mutare imediata - Militari Residenece,"Bucuresti, Sector 6, zona Militari",2,37, 4/8,Dec.,47.000
Oferta! Comision 0/Drumul Taberei 1 Mai dec/ Reabilitat Termic/2 bai/ an 1983,"Bucuresti, Sector 6, zona Drumul Taberei",3,72, 8/9,Dec.,78.500
Studio Dublu/ Mutare imediata/ 44mp/ Ideal Investitie/ Comision 0%,"Bucuresti, Sector 4, zona Vitan",o,44,Parter/7,Dec.,58.400
Apartament 3 camere | Floreasca | Vedere superba,"Bucuresti, zona Floreasca",3,96, 1/3,Dec.,530.000
Dezvoltator Promotie | The Level Apartments | Pta Presei - Petrom City | Tip 05B,"Bucuresti, Sector 1, zona P-ta Presei Libere (Kiseleff)",2,55.81, 1/7,Dec.,107.915
Apartament LUX - 7 minute metrou BERCENI!,"Bucuresti, Sector 4, zona Berceni",2,57, 2/7,Dec.,66.000
2 Camere Promotie Direct Dezvoltator Metrou Aproape,"Bucuresti, zona Berceni",2,43, 3/5,Dec.,41.900
PROMO! 2 camere - acces metrou!,"Bucuresti, Sector 4, zona Berceni",2,59, 2/6,Dec.,56.700
