price,priceRounded,priceRange,eur/mp,areaRaw,areaRounded,totalArea,areaRange,rooms,no_of_levels,location
145.00,145,140-155k,1058,137.00,137,No data,130-145mp,5,P+1E+M,Central
110.00,110,100-115k,880,125.00,125,No data,112-127mp,4,P+1E,Central
130.00,130,128-139k,839,155.00,155,No data,150-164mp,5,P+2E, Sud
260.00,260,255-295k,1102,236.00,236,No data,221-250mp,4,P+1E, Sud
105.00,105,100-115k,827,127.00,127,No data,112-127mp,4,P+1E, Sud
130.00,130,128-139k,867,150.00,150,No data,150-164mp,5,P+1E+M,Central
185.00,185,179-199k,740,250.00,250,1896,221-250mp,5,No data,Nord
139.99,140,140-155k,1000,140.00,140,No data,130-145mp,3,P+1E+M, Sud
147.00,147,140-155k,1235,119.00,119,No data,112-127mp,4,P+1E, Sud
229.90,230,200-250k,1437,160.00,160,No data,150-164mp,5,P+1E+M, Sud
140.00,140,140-155k,1022,137.00,137,No data,130-145mp,5,P+1E+M,Central
129.99,130,128-139k,765,170.00,170,No data,170-190mp,5,P+1E+M, Sud
275.00,275,255-295k,1335,206.00,206,No data,191-210mp,8,P+1E+M,Central
260.00,260,255-295k,1166,223.00,223,No data,221-250mp,4,S+P+1E, Sud
179.90,180,179-199k,1285,140.00,140,No data,130-145mp,5,P+1E, Sud
94.99,95,69-95k,950,100.00,100,No data,90-110mp,5,P+1E, Sud
129.80,130,128-139k,1082,120.00,120,705,112-127mp,3,No data,No data
199.00,199,179-199k,1519,131.00,131,No data,130-145mp,4,S+P+1E+M,Nord
140.00,140,140-155k,805,174.00,174,No data,170-190mp,5,P+1E+M, Sud
175.00,175,160-175k,1522,115.00,115,No data,112-127mp,5,P+1E+M, Sud
125.00,125,118-126k,862,145.00,145,No data,130-145mp,5,P+1E+M, Sud
229.99,230,200-250k,1437,160.00,160,No data,150-164mp,5,P+1E+M, Sud
246.00,246,200-250k,1113,221.00,221,No data,221-250mp,5,P+1E+M,Nord
145.00,145,140-155k,1021,142.00,142,No data,130-145mp,4,P+2E+M,Central
147.00,147,140-155k,1089,135.00,135,No data,130-145mp,4,P+1E+M, Sud
115.00,115,100-115k,1150,100.00,100,No data,90-110mp,4,P+1E, Sud
246.00,246,200-250k,996,247.00,247,No data,221-250mp,5,P+1E+M,No data
199.50,200,200-250k,1008,198.00,198,No data,191-210mp,5,P+1E+M, Sud
246.00,246,200-250k,996,247.00,247,No data,221-250mp,6,P+1E+M, Sud
140.00,140,140-155k,1014,138.00,138,No data,130-145mp,4,P+2E,No data
129.00,129,128-139k,1387,93.00,93,No data,90-110mp,3,P+1E, Sud
174.90,175,160-175k,1143,153.00,153,No data,150-164mp,4,P+1E,Central
140.00,140,140-155k,1022,137.00,137,No data,130-145mp,5,P+1E+M,Central
123.00,123,118-126k,820,150.00,150,No data,150-164mp,5,P+1E+M,Central
104.99,105,100-115k,840,125.00,125,No data,112-127mp,4,P+1E,No data
200.00,200,200-250k,2000,100.00,100,No data,90-110mp,4,P+1E, Sud
147.00,147,140-155k,1455,101.00,101,No data,90-110mp,4,P+1E+M, Sud
129.00,129,128-139k,1387,93.00,93,No data,90-110mp,3,P+1E, Sud
84.90,85,69-95k,1035,82.00,82,30,67-85mp,3,No data,No data
240.00,240,200-250k,800,300.00,300,No data,273-300mp,6,No data,No data
119.80,120,118-126k,1198,100.00,100,470,90-110mp,4,No data,No data
147.00,147,140-155k,1470,100.00,100,230,90-110mp,4,No data, Sud
130.00,130,128-139k,813,160.00,160,140,150-164mp,6,No data, Sud
144.90,145,140-155k,1058,137.00,137,180,130-145mp,5,No data, Sud
210.00,210,200-250k,1400,150.00,150,260,150-164mp,5,No data, Sud
130.00,130,128-139k,1066,122.00,122,180,112-127mp,4,No data,Central
90.00,90,69-95k,900,100.00,100,170,90-110mp,3,No data, Sud
145.00,145,140-155k,1051,138.00,138,188,130-145mp,5,No data,Central
79.99,80,69-95k,1333,60.00,60,170,45-65mp,3,No data,No data
750.00,750,Over 300,490,1531.00,1531,2852,Over 300mp,33,No data, Sud
144.99,145,140-155k,1054,137.58,138,196,130-145mp,4,No data,Central
750.00,750,Over 300,490,1531.00,1531,2852,Over 300mp,33,P+2E+M, Sud
